@relation Ambiente3

@attribute Sensor {NENHUM,FRONTAL,DIREITO,ESQUERDO,FRONTALDIREITO,FRONTALESQUERDO,DIREITAESQUERDA,TODOS}
@attribute Volante {PARADO,DIREITA,ESQUERDA}
@attribute Desempenho {RUIM,MEDIO,BOM}

@data
DIREITO,PARADO,BOM
FRONTALESQUERDO,DIREITA,BOM
FRONTAL,DIREITA,BOM
FRONTALDIREITO,ESQUERDA,BOM
NENHUM,ESQUERDA,BOM
NENHUM,PARADO,BOM
DIREITO,PARADO,BOM
ESQUERDO,PARADO,BOM
NENHUM,DIREITA,BOM
ESQUERDO,PARADO,BOM
FRONTAL,DIREITA,BOM
DIREITO,PARADO,BOM
FRONTAL,DIREITA,BOM
DIREITAESQUERDA,PARADO,BOM
NENHUM,DIREITA,BOM
NENHUM,PARADO,BOM
TODOS,PARADO,BOM
NENHUM,DIREITA,BOM
DIREITO,PARADO,BOM
FRONTALESQUERDO,DIREITA,BOM
NENHUM,PARADO,BOM
FRONTAL,ESQUERDA,BOM
FRONTALDIREITO,ESQUERDA,BOM
FRONTAL,ESQUERDA,BOM
NENHUM,ESQUERDA,BOM
FRONTALESQUERDO,DIREITA,BOM
FRONTAL,DIREITA,BOM
FRONTALDIREITO,ESQUERDA,BOM
FRONTAL,ESQUERDA,BOM
NENHUM,ESQUERDA,BOM
ESQUERDO,PARADO,BOM
FRONTALESQUERDO,DIREITA,BOM
FRONTAL,ESQUERDA,BOM
NENHUM,PARADO,BOM
FRONTAL,DIREITA,BOM
ESQUERDO,PARADO,BOM
FRONTAL,ESQUERDA,BOM
NENHUM,ESQUERDA,BOM
